Nama_Tempat,Photo_URL,Gmaps_Link,Waktu_Buka,Price_Items,Facilities
Kuncen Camp Ground,https://www.gemasulawesi.com/storage/photos/agrowisata-kuncen-polobogo-getasan-semarang-tawarkan-camping-ground-dengan-rumput-hijaunya-bikin-betah.jpeg,https://maps.app.goo.gl/Wpo7JYCyeWjy4Enk8,Check In - Out : 12.00 - 11.00,"[{""item"":""Tiket Masuk"",""harga"":15000,""kategori"":""biaya wajib""},{""item"":""Parkir (Motor)"",""harga"":5000,""kategori"":""biaya wajib""},{""item"":""Parkir (Mobil)"",""harga"":10000,""kategori"":""biaya wajib""},{""item"":""Tenda 4P"",""harga"":65000,""kategori"":""sewa pokok""},{""item"":""Matras (180x120)"",""harga"":20000,""kategori"":""sewa mewah""},{""item"":""Matras (180x60)"",""harga"":10000,""kategori"":""sewa pokok""},{""item"":""Sleeping Bag"",""harga"":15000,""kategori"":""sewa pokok""},{""item"":""Nesting (Panci Kecil)"",""harga"":15000,""kategori"":""sewa pokok""},{""item"":""Kompor (Kecil)"",""harga"":15000,""kategori"":""sewa pokok""},{""item"":""Kompor (Koper)"",""harga"":20000,""kategori"":""sewa mewah""},{""item"":""Gas Portable"",""harga"":10000,""kategori"":""sewa pokok""},{""item"":""Flysheet"",""harga"":15000,""kategori"":""sewa mewah""},{""item"":""Meja Lipat"",""harga"":20000,""kategori"":""sewa pokok""},{""item"":""Kursi Lipat"",""harga"":15000,""kategori"":""sewa pokok""},{""item"":""Grill Pan"",""harga"":15000,""kategori"":""sewa mewah""},{""item"":""Jasa Bongkar Pasang"",""harga"":20000,""kategori"":""layanan""},{""item"":""Lampu Tenda"",""harga"":15000,""kategori"":""sewa pokok""},{""item"":""Roll Kabel"",""harga"":15000,""kategori"":""sewa pokok""},{""item"":""Kayu Bakar"",""harga"":20000,""kategori"":""sewa mewah""},{""item"":""Minyak Tanah (600ml)"",""harga"":15000,""kategori"":""sewa mewah""}]",Tempat Parkir | Toilet | Stop Kontak
Camping Umbul Sidomukti,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-mble/tix-hotel/images-web/2023/04/02/2a7fe1d1-39cc-41cf-96a4-f5930fbb0806-1680418848991-d7c9ffe1e8950433b87f9b437835c897.jpg,https://maps.app.goo.gl/iR9WGZWpJwYX6zDy5,Check In - Out : 14.00 - 12.00 hari berikutnya,"[{""item"":""Tiket Masuk"",""harga"":20000,""kategori"":""biaya wajib""}]",Tempat Parkir | Tenda Kapasitas 3 Orang | Sleeping Bag / Selimut | Matras | Toilet Umum | Mushola | Dapur | Free Berenang di Kolam Renang Umbul Sidomukti
Pinusan Nglimut,https://i.ytimg.com/vi/1xVtD3Scmac/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLCRsSpBwh2GfpEG89RF5ZmkH_8IbA,https://maps.app.goo.gl/FG9Z3dJT9RhTDA9S7,Check In - Out : 12.00 - 11.00,"[{""item"":""Tiket Masuk"",""harga"":15000,""kategori"":""biaya wajib""}]",Tempat Parkir | Toilet | Stop Kontak | Mushola | Cafe | Warung
Camp Ground,https://assets.pikiran-rakyat.com/crop/0x0:0x0/720x0/webp/photo/2025/01/19/4227292767.jpg,https://maps.app.goo.gl/pC4yL1LoVmkU5X7R7,Check In - Out : 12.00 - 11.01,"[{""item"":""Tiket Masuk"",""harga"":20000,""kategori"":""biaya wajib""}]",Tempat Parkir
Jogja Camp,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2023/02/03/be60dfdf-8591-4595-8740-a64dd97c9520-1675419067496-5ce697296d27b1a2ce853515bdc2e4f9.jpg,https://maps.app.goo.gl/bg6D8DpVBopxywyS8,Check In - Out : 12.00 - 11.02,"[{""item"":""Paket per Tenda"",""harga"":150000,""kategori"":""sewa pokok""},{""item"":""Ground Only"",""harga"":25000,""kategori"":""biaya wajib""}]",Tenda dan Peralatan Tidur (Gratis) | Lampu Tenda | Parkir (Gratis) | 15 Toilet | Mushola | Limasan | Listrik Bebas | No Pungli
Camping Ground Bukit Klangon,https://asset.kompas.com/crops/J84_AorpiqhSZBC3ECMGyaMwo_U=/0x61:960x541/1200x800/data/photo/2020/11/06/5fa4bcec5d9a9.jpg,https://maps.app.goo.gl/d6q9x7d2t2DtwrwW7,Check In - Out : 12.00 - 11.03,"[{""item"":""Tiket Masuk"",""harga"":20000,""kategori"":""biaya wajib""},{""item"":""Parkir (Motor)"",""harga"":3000,""kategori"":""biaya wajib""},{""item"":""Parkir (Mobil)"",""harga"":5000,""kategori"":""biaya wajib""},{""item"":""Tenda 4P + Pasang"",""harga"":70000,""kategori"":""layanan""},{""item"":""Matras"",""harga"":5000,""kategori"":""sewa pokok""},{""item"":""Sleeping Bag"",""harga"":12000,""kategori"":""sewa pokok""},{""item"":""Cooking Set"",""harga"":15000,""kategori"":""sewa pokok""},{""item"":""Lampu Tenda"",""harga"":15000,""kategori"":""sewa pokok""},{""item"":""Flysheet 3x4"",""harga"":13000,""kategori"":""sewa mewah""},{""item"":""Kompor + Gas"",""harga"":40000,""kategori"":""sewa pokok""},{""item"":""Kursi Lipat"",""harga"":15000,""kategori"":""sewa pokok""},{""item"":""Meja Lipat"",""harga"":15000,""kategori"":""sewa pokok""}]",Tempat Parkir
Lor Sambi Camping Ground,https://d2kihw5e8drjh5.cloudfront.net/eyJidWNrZXQiOiJ1dGEtaW1hZ2VzIiwia2V5IjoicGxhY2VfaW1nL2NkNzU3NDAzMjM2ZDRkMzNhNGMxYzNiNmI2OTA3NGU5IiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo2NDAsImhlaWdodCI6NjQwLCJmaXQiOiJpbnNpZGUifSwicm90YXRlIjpudWxsLCJ0b0Zvcm1hdCI6ICJ3ZWJwIn19,https://maps.app.goo.gl/3xULxnePvrYzW41t6,Check In - Out : 12.00 - 11.04,"[{""item"":""Tiket Masuk"",""harga"":20000,""kategori"":""biaya wajib""}]",Tempat Parkir | Tempat Kemah Luas | Toilet
Waduk Sermo,https://visitingjogja.jogjaprov.go.id/wp-content/uploads/2021/04/167509417_468363341270038_9164971378936850009_n.jpg,https://maps.app.goo.gl/VY35FLEKP93CEKKe8,Check In - Out : 12.00 - 11.05,"[{""item"":""Tiket Masuk"",""harga"":6000,""kategori"":""biaya wajib""},{""item"":""Biaya Camping"",""harga"":20000,""kategori"":""biaya wajib""},{""item"":""Parkir (Motor)"",""harga"":2000,""kategori"":""biaya wajib""},{""item"":""Parkir (Mobil)"",""harga"":5000,""kategori"":""biaya wajib""},{""item"":""Parkir (Bus)"",""harga"":10000,""kategori"":""biaya wajib""},{""item"":""Sewa Perahu Gethek Tradisional"",""harga"":6000,""kategori"":""layanan""},{""item"":""Sewa Perahu Motor (Per Rombongan)"",""harga"":30000,""kategori"":""layanan""},{""item"":""Jasa Spot Foto Gardu Pandang"",""harga"":10000,""kategori"":""layanan""}]",Toilet | Listrik | Air Bersih | Parkir R2 dan R4
Camping Ground Bukit Ngisis,"https://res.klook.com/images/fl_lossy.progressive,q_65/c_fill,w_1080,h_652/w_66,x_12,y_12,g_south_west,l_Klook_water_br_trans_yhcmh3/activities/exhxsfxmetcmumlfua5x/TiketPuncak9BukitNgisisdiKulonProgo.webp",https://maps.app.goo.gl/K7EZNho4gP7cpV6o7,Check In - Out : 12.00 - 11.06,"[{""item"":""Premium Pack 2 Orang (Tenda Dome, Matras, Sleeping Bag, Breakfast & Fasilitas)"",""harga"":250000,""kategori"":""layanan""},{""item"":""Premium Pack 4 Orang (Tenda Dome, Matras, Sleeping Bag, Breakfast & Fasilitas)"",""harga"":400000,""kategori"":""layanan""},{""item"":""Medium Pack 2 Orang (Tenda Dome, Matras & Fasilitas)"",""harga"":150000,""kategori"":""layanan""},{""item"":""Medium Pack 4 Orang (Tenda Dome, Matras & Fasilitas)"",""harga"":250000,""kategori"":""layanan""},{""item"":""Reguler Pack (Sewa tempat, Peralatan sendiri, Include fasilitas)"",""harga"":30000,""kategori"":""biaya wajib""},{""item"":""Sleeping Bag"",""harga"":30000,""kategori"":""sewa pokok""},{""item"":""Cooking Set"",""harga"":75000,""kategori"":""sewa pokok""},{""item"":""Kayu Bakar"",""harga"":10000,""kategori"":""sewa pokok""},{""item"":""Alat BBQ"",""harga"":75000,""kategori"":""sewa mewah""}]",Kamar Mandi Umum | Listrik | Air Bersih | Wi-Fi | Note : Harga hari libur bisa berubah
Watu Mabur Lemahbang Rock Cliff,https://travelspromo.com/wp-content/uploads/2023/10/Camping-Tukang-Andalan.jpg,https://maps.app.goo.gl/akxSRw5yXiBahqCQ7,Check In - Out : 12.00 - 11.07,"[{""item"":""Tiket Masuk"",""harga"":20000,""kategori"":""biaya wajib""}]",Tempat Parkir
