Doc_ID,Nama_Tempat,Lokasi,Rating,Teks_Mentah
1,Kuncen Camp Ground,"Kab. Semarang, Jawa Tengah",5.0,"Bagus banget tempatnya, terkonsep dan guide nya super duper membantu."
2,Kuncen Camp Ground,"Kab. Semarang, Jawa Tengah",5.0,"Sangat menyenangkan untuk camping ceria.
Nyaman. Disediakan banyak toilet bersih, disediakan colokan listrik.
Pemandangan bagus. Murah pula."
3,Kuncen Camp Ground,"Kab. Semarang, Jawa Tengah",5.0,"Tempatnya asri dan sejuk, sudah lumayan ramai dengan pemukiman masyarakat. Fasilitas lumayan lengkap, kantin, toilet, gazebo, mushola,parkir luas banget. Wajib kesini untuk yang mau nge camp"
4,Kuncen Camp Ground,"Kab. Semarang, Jawa Tengah",5.0,"3 kali ke sini, sekali ikut acara, 2 kali bikin acara dengan 2 spot berbeda, terakhir di lantai 2 nya, lumayan luas walau cuma ada 1 pendopo aja, di bawah lebih lengkap ada pendopo, gazebo, taman kelinci, aviary , musholla dan warung.
Pengelola sangat ramah, tarif terjangkau cenderung murah."
5,Kuncen Camp Ground,"Kab. Semarang, Jawa Tengah",5.0,"Tempat yang cocok untuk acara kemah, kami kemah 290 orang, fasilitas memadai ada mushola, warung makan, toilet & ketersediaan air, cukup,,, cuma ati2 jalan menuju lokasi agak ekstrim naik turun dan cuma untuk 1 mobil, kondisi mobil harus sehat (sebaiknya manual)"
6,Kuncen Camp Ground,"Kab. Semarang, Jawa Tengah",5.0,"Tempat yang bagus, cocok untuk bersantai dan berkemah, kita bisa melihat pemandangan yang indah apalagi disaat senja / malam hari."
7,Kuncen Camp Ground,"Kab. Semarang, Jawa Tengah",5.0,"Wisata alam yang dikelola Desa Polobogo Getasan kab Semarang,  cocok untuk camping dan campervan, fasilitas cukup memadai, harga sewa tenda & tempat terjangkau

Disekitar lokasi wisata Banyak penjual durian yg harganya murah dan enak

Akses cukup mudah tp agak sempit, ada tanjakan/turunan cukup tajam, pastikan kendaraan anda dalam kondisi prima"
8,Kuncen Camp Ground,"Kab. Semarang, Jawa Tengah",5.0,Agak kotor di beberapa sudut. Fasilitas listriknya belum stabil.
9,Kuncen Camp Ground,"Kab. Semarang, Jawa Tengah",4.0,"Bagus. hanya saja tenda nya membuat agak panas apalagi saat siang, terasa sangat membakar"
10,Kuncen Camp Ground,"Kab. Semarang, Jawa Tengah",4.0,"Tempat menarik, view rawa pening, jalan akses hanya buat 1 mobil, gantian, tp ada pemandu, mobil harus benar2 sehat kalo mau kesini"
